5632,5504,4992,4736,4864,5056,5056,4992,4992,5184,5312,4992,4992,5056,4992,5120,4928,4800,4928,4928,4800,4992,4928,4992,4992,4992,4800,4864,5056,4928,4928,5184,4800,4800,4800,4992,4992,4928,5120,5120,4864,5056,4992,4864,5056,4992,4992,5120,4928,4928,5056,4928,4928,5120,5056,5248,5056,4992,5056,4928,4928,4928,4864,5056
5632,5504,5312,4992,4992,5056,4992,4992,5120,5440,5568,4864,5056,4992,4992,5120,4992,4864,4928,4992,4928,4992,4928,4928,4928,4928,4800,4928,4864,4864,4992,5120,4928,4800,4800,4800,4992,4992,5056,5056,4928,4928,4864,4864,5120,4992,5056,5056,5056,4928,5056,4992,4928,4992,5248,5248,5120,4928,4864,4800,4864,4992,4992,5248
5696,5568,5504,5120,5056,4928,5120,4992,5120,5504,5440,4928,4992,4928,4992,5120,4992,4992,4928,4992,4928,5056,4800,4928,4928,4864,4864,4864,4928,4864,4992,5120,4928,4928,4864,4864,4992,4992,4992,5056,4992,4864,4800,4928,4928,4992,5056,5120,5056,4928,4992,4864,4928,4992,5120,5248,5056,5056,4800,4992,4864,4992,4992,5312
5696,5888,5568,5120,4928,4992,4992,5184,5248,5824,5504,5376,5056,4992,5120,5248,4864,4864,5056,4928,4928,5056,4992,5056,4928,4928,4800,4928,4928,4864,4928,5184,4928,4928,4736,4928,4928,4864,4992,5056,4864,4928,4864,4864,5056,4928,4992,4992,4800,4864,4864,4928,4928,4928,5056,5440,4928,5056,5056,4864,4928,5056,4928,5312
5312,6016,5888,5632,5056,5056,4992,5120,5120,5632,5568,5504,5056,4992,5056,5184,4864,5248,5184,5440,5056,4992,4928,4864,4864,4864,4864,4992,4928,4800,4864,5184,4928,4928,4800,4864,4928,4928,5120,5120,4992,4992,5056,4864,5056,4800,5120,5120,4928,4928,4928,4800,4864,4992,5120,5376,5056,4928,4992,4736,4864,4992,4992,5248
5312,6080,6208,6016,5376,5184,5120,5056,4928,5760,5632,5504,5312,4928,5056,4928,4928,5440,5120,5440,5184,5056,4992,5120,4864,5056,4864,5120,5184,4992,5056,5056,4992,4800,4736,5056,5056,5056,5056,5184,4928,4864,4864,4928,5056,5056,5056,5120,4928,4928,5120,4928,4928,5056,5184,5184,5056,4928,4928,4736,4864,5056,5056,5184
5120,5760,6272,6144,5952,5312,5120,5120,4992,5824,6016,5952,5824,5248,5056,5184,4928,5120,5440,5504,5184,5056,5056,5056,4800,4992,4864,5120,5312,4992,4992,5248,4864,4864,4928,4864,5056,4992,4992,5184,4928,4928,4992,4928,4992,4992,4992,4992,4864,4992,4928,4928,4864,4928,5120,5248,5120,4928,5056,4928,4992,4992,4928,5184
5120,5312,5696,5568,5568,5248,5120,5120,4928,5440,5952,6144,6272,5440,5120,5184,4992,5056,5568,5824,5824,5312,5120,4928,4800,4992,4864,5248,5376,5056,4992,5120,4992,4736,4992,5056,4992,4992,4992,5056,4928,4928,4928,4736,4992,4864,4992,4992,4992,4800,4864,4928,4928,4928,4928,5312,5120,5056,4736,4928,4864,4800,5056,5312
4864,4992,5568,5888,5632,5184,5120,5056,4800,5056,5568,5568,5888,5184,5184,4992,4864,4800,5312,5952,6080,5632,4992,4992,4864,4928,4800,5312,5824,5184,5120,5120,4864,4672,4800,4928,4992,5056,5056,5056,4800,4864,4864,4864,4992,4992,5120,4992,4800,4928,4864,4800,4800,4928,5184,5184,4864,4928,4864,4864,4864,4928,4992,5312
4992,5056,5504,5888,5632,5120,5184,5312,4672,5056,5696,6016,5760,5184,5056,5120,4928,4992,5568,5760,5888,5568,5120,5056,4928,4992,4992,5504,5888,5312,5120,5184,4928,4800,4864,5056,5248,5056,5056,5248,4992,4928,4992,4928,5056,4992,5120,5120,4992,4736,5056,4992,4864,4992,5120,5312,4992,5056,4928,4800,4992,5056,4928,5184
4928,5056,5248,5504,5312,5056,5056,5056,4864,5184,5824,5952,5696,5184,5056,5056,4928,5120,5824,5952,5824,5184,4928,4992,4928,5056,5120,5696,6016,5184,4992,5056,4928,4736,4928,5248,5312,5120,5120,5120,4992,4864,4864,4864,5120,4992,5120,5056,4928,4736,4928,4928,5056,5056,5056,5312,4928,5120,4928,4800,4864,5056,4928,5056
5184,5824,5824,5568,5184,5184,5248,5120,5056,5888,5888,5824,5376,4992,5056,5120,4864,4992,5760,6080,5376,5120,4992,5248,4992,4992,5184,5696,5312,4928,5056,5248,4800,4864,4928,5184,5120,4992,5120,5120,5056,4864,4864,4864,5120,4992,5056,4992,4992,4928,4992,4992,4864,4992,5184,5184,5056,4992,4864,4800,4992,4992,4992,5120
5504,5824,5632,5632,4928,5056,4928,5120,4992,5696,6080,5632,5056,4800,4992,4992,4992,5120,6016,5696,4992,4928,4928,4928,4864,4864,5248,5376,5120,4864,4800,4992,4864,4736,4800,4928,4992,4928,4928,4992,4800,4928,4800,4864,4864,4864,4992,4928,4928,4800,4864,4800,4864,4928,4992,5056,4992,4992,4864,4864,4928,5056,4864,5056
5696,5824,5824,5504,4928,5120,4992,5056,5056,5824,5888,5632,4992,5056,5056,5056,4928,5504,5696,5312,4864,5056,4928,4800,4800,4992,4992,5056,4928,4992,5056,5056,4864,4800,4800,4928,4928,4928,4992,5056,4992,4864,5056,4800,5056,4928,4928,4928,4992,4992,4864,4928,4928,5056,5120,5312,4992,5056,4928,4928,4928,5056,4928,5184
5632,6144,5632,4992,4992,5056,4992,4992,4992,5888,5760,5184,5056,4928,4992,5120,4992,5440,5312,5120,4928,4992,4928,5056,4800,4864,4800,4992,4864,4928,4928,4992,4800,4800,4928,4864,4928,4928,4992,5120,4864,4864,4864,4864,4992,4992,5056,4992,4864,4928,5056,4928,4736,4992,4992,5312,4928,5056,4864,4864,4864,4992,4928,5376
5824,5760,5568,4864,4928,5120,4928,4992,5440,5888,5568,5120,5056,4992,5056,5184,4928,5440,5056,4992,4800,5056,4864,4992,4992,4992,4800,4928,4928,4864,4992,5056,4800,4800,4800,4736,4864,4800,4928,5056,4864,4928,4992,4800,4992,4992,5056,4992,4864,4864,4800,4928,4864,4928,5056,5312,5056,4992,4800,4864,4928,4928,4928,5184
5824,5824,5184,4800,4736,5056,5056,5056,5696,5760,5504,4928,5056,5056,4928,5056,5184,5312,4992,4864,4864,4864,4928,4864,4672,4800,4672,4928,4864,4736,4928,5184,4864,4672,4800,4928,4864,4992,4928,5184,4800,4928,4864,4800,4992,4864,4992,4992,4864,4928,4864,4928,4864,4992,5248,5248,4864,4928,4864,4864,4800,4864,4864,5184
5824,5440,4864,4800,4928,4928,5056,5056,5568,5568,5312,4864,4928,4864,4928,4992,5504,4928,4928,4864,4800,4992,4800,4928,4928,4928,4800,4864,4992,4864,4928,4992,4928,4928,4864,4864,4864,4864,4992,5056,4928,4864,4864,4736,4928,4800,4928,5056,4864,4864,4800,4864,4800,5056,4928,5184,4864,5056,4864,4800,4864,4928,4864,5120
5696,5120,4928,4864,5056,5120,5056,5120,5440,5440,5120,4800,4992,4928,4928,5120,5056,4864,4864,4864,4864,4928,4992,5056,4800,5056,4800,4864,4928,4800,4992,4992,4928,4864,4800,4928,4992,4800,4928,5120,4992,4672,4864,4864,4928,4928,4864,4992,4864,4736,4928,4800,4928,5056,5120,5248,4992,5056,4736,4864,4864,4992,5056,5248
